# =========================================
# Dataset for regression
# Developed by: Shahab Fatemi
# Date: 2024-08-10
# Features: Mass, Radius, Temperature
# Target: Luminosity
#
#     Mass is given in solar masses, 
#     Radius is in solar radii
#     Temperature in Kelvin
#     Luminosity is normalized to solar luminosity.
#
# The data is made for educational purposes and has no scientific value.
# =========================================    
Mass,Radius,Temperature,Luminosity
1.7258,0.5909,7500,0.755
0.8432,2.3108,5528,4.281
1.7270,1.3831,4839,2.079
1.6922,2.1258,5348,3.057
1.4497,0.8762,7669,2.941
1.2661,0.7341,4982,1.016
1.0634,1.4852,4118,-0.209
0.9963,1.7579,5025,1.740
0.9665,1.9701,9576,29.519
0.7114,2.4224,5476,6.019
0.9298,0.7561,4597,0.228
1.3037,1.6667,8464,13.165
1.9785,0.7224,4836,-0.050
0.9368,1.0005,8490,5.232
0.8419,0.6151,7447,0.794
0.6738,1.0637,9193,6.512
1.4501,1.7637,6093,3.774
1.8388,1.8450,4746,2.066
0.5083,0.6889,4481,-0.137
0.7751,1.8919,9525,26.520
0.5309,1.3779,4236,-0.080
1.0085,1.4274,4109,0.928
1.4546,2.3051,4311,1.991
0.6118,0.8916,5119,1.059
0.8978,2.1767,7224,12.166
0.6465,1.9073,5455,2.064
0.9564,1.3179,4366,0.301
0.7063,1.5462,7847,9.058
1.2540,2.0068,7261,10.283
1.2670,2.2247,4152,1.390
1.7033,2.3107,4964,2.876
1.8381,0.6128,8425,2.295
1.9803,0.6387,5711,0.044
0.7558,2.0157,9371,28.425
1.8160,1.7551,6074,4.367
1.6112,1.6798,7358,8.113
0.8660,1.4374,9519,14.790
1.9437,0.6697,6776,1.617
1.1479,0.8129,8837,3.615
0.6702,1.8915,7256,9.054
1.2841,2.2168,5732,4.917
0.6798,1.7364,7991,10.879
0.7101,0.7727,7146,1.685
1.5944,1.0641,7430,3.298
1.9454,1.5406,7013,6.088
1.8925,1.2163,6488,2.794
1.7055,1.0864,8984,7.646
1.4143,2.4720,6303,8.144
1.7339,0.8638,8981,4.268
1.8457,0.6555,7391,1.733
0.6522,2.3219,9606,41.406
1.8828,1.7848,4765,0.815
1.2681,0.5863,4765,0.485
0.8869,1.6686,5090,2.931
0.7798,2.2372,9261,34.075
1.9577,0.6627,6262,0.724
0.9754,1.6219,9388,18.546
1.5263,1.4483,5615,2.388
1.1407,1.5991,9051,16.167
1.0238,1.2067,9233,9.791
0.6410,1.1575,4625,0.928
1.5545,2.1437,8900,25.614
1.8945,2.4012,6829,11.929
0.5612,0.9472,6052,0.783
0.7799,1.1573,9790,11.192
1.4749,2.3532,7954,19.658
1.7152,2.0673,5624,4.744
0.8631,1.4853,8764,11.461
1.5364,0.6476,5376,-0.364
1.9051,2.4386,8320,25.679
1.5980,1.5813,5062,1.936
1.8072,1.3969,9577,14.585
0.9513,1.2413,7016,3.261
1.0801,1.6077,8334,10.880
1.7112,2.0832,9630,33.783
1.3231,1.7268,9909,25.251
1.4225,1.9082,8653,18.575
1.7911,2.2754,8772,27.457
1.5603,0.6424,6462,0.998
0.5697,0.9955,5515,0.736
0.5953,2.2549,8012,19.197
0.9404,1.1965,9677,12.028
1.6333,0.5217,8859,1.284
1.0516,2.1842,6389,7.263
0.8565,0.6126,9363,3.301
1.8350,1.4183,5386,1.304
1.1423,0.7271,4512,0.518
0.6405,2.4398,6001,6.741
1.3140,1.2722,4917,0.913
1.8306,2.4488,8180,24.888
0.9878,2.1070,7341,10.963
0.8364,2.2321,9525,38.045
1.5923,0.7376,8732,2.570
1.7487,0.5507,7767,-0.031
1.7126,0.5815,6684,0.126
1.3886,1.3392,4220,0.597
1.2459,1.2485,8486,7.773
1.3674,1.7668,8799,17.263
0.7542,2.2533,5231,3.308
1.5163,0.5243,4664,0.258
1.6627,2.2130,7223,11.644
1.2407,2.3615,7664,17.448
0.5076,2.3996,6705,10.588
1.9500,1.8431,9981,30.353
1.2428,1.4469,5932,2.823
1.2083,2.1137,5122,3.306
0.5232,1.7363,4892,0.925
1.2782,0.6455,6355,0.117
0.7995,1.6087,6775,4.252
1.0403,1.1913,6383,2.138
0.8777,2.4733,5808,5.785
1.4630,1.8963,8243,14.890
1.0618,0.6034,5014,0.368
1.0392,2.3083,9171,33.937
1.8006,1.2931,7864,5.746
0.5471,0.7062,7196,1.186
0.6458,1.7406,4394,1.570
1.3352,1.3070,5144,1.252
0.5249,2.4398,9079,36.626
0.5381,2.0017,4926,1.594
0.9569,2.2109,7196,12.018
0.9070,1.7866,9919,27.950
1.8624,2.0543,4701,2.002
0.9212,2.1993,9489,34.645
0.7424,1.1191,7458,4.088
1.8723,0.9573,5068,0.665
1.9549,0.6569,8796,3.195
1.6550,1.8351,5759,3.218
1.5537,1.3749,5092,1.495
1.2714,1.7234,8485,14.247
1.7738,0.8008,6011,0.893
0.7340,1.9522,4724,1.453
0.9770,0.6824,4399,0.198
0.5976,0.5288,7070,0.364
1.4096,1.8695,6545,5.963
1.4503,1.9921,5491,2.980
0.7412,1.9514,4679,1.669
0.5539,0.9803,5071,0.783
1.0454,1.9125,6635,6.374
1.7431,1.4165,7635,5.723
0.9848,1.9019,9263,23.562
0.5104,1.2018,5210,0.740
0.5458,0.7777,8334,3.371
1.4017,2.0904,7021,8.803
1.6584,0.7016,5040,0.269
1.8161,1.2012,6405,2.506
0.9214,2.3829,4611,2.030
0.8882,1.2970,4719,-0.156
1.6937,1.0165,5332,-0.179
1.5082,0.5227,7720,0.561
0.6831,1.4832,4120,0.698
0.6651,1.4888,8447,10.699
1.2523,2.3990,4937,2.747
0.9881,1.2529,7548,4.716
1.2342,2.3127,6009,6.028
1.0495,1.0599,6907,2.277
1.9851,0.9259,6720,1.801
0.9346,1.1386,8561,6.390
1.4349,1.8935,5547,2.939
1.4953,2.1451,9553,35.189
1.4779,2.3655,4748,2.882
1.1602,0.6957,6264,0.905
1.9107,2.4081,4079,0.943
0.5560,1.7817,9134,20.358
1.3551,2.0103,7389,10.821
1.6698,2.4724,9535,45.878
0.7727,2.1720,9241,31.129
1.2801,0.5906,8075,1.350
1.6565,1.1816,4689,0.820
1.2775,0.5291,6645,0.713
1.0896,1.0468,6082,1.006
1.8699,1.7442,6452,4.049
0.6262,1.5722,4915,1.373
1.4485,1.7984,5870,3.696
1.8640,1.3677,5965,2.636
1.6197,2.1211,6394,7.558
0.5553,2.3945,9397,40.652
0.6397,1.4113,4920,1.340
1.4864,1.6883,8817,15.832
1.0776,2.2044,8500,22.527
1.3980,1.7749,4532,1.107
0.8739,2.2910,9940,45.942
1.8422,0.8259,8473,2.475
1.0064,0.7022,7138,1.016
1.9261,1.5627,5672,1.661
0.8332,2.0230,8887,22.764
1.2629,2.1529,4806,2.245
0.7773,1.7517,6991,6.250
1.7947,0.7363,8902,2.712
0.5138,0.8252,8419,2.890
1.9484,0.5920,4643,0.243
1.5699,1.3252,6553,3.146
1.9092,1.8174,7521,9.227
1.9309,1.7123,7981,11.077
0.8185,2.4253,4491,2.993
1.8308,2.0012,8617,20.185
0.9812,1.0714,8575,6.359
0.6906,2.2936,8009,19.613
1.9144,0.6682,6153,-0.086
1.3140,0.7578,5429,0.426
1.0552,1.8434,9766,27.597
1.3968,0.6411,6590,0.244
1.9544,1.5063,4522,0.947
1.4678,1.5554,8784,12.898
0.8628,2.2805,9684,42.147
1.4343,0.8846,4078,-0.299
1.3328,1.0619,6405,2.226
1.3863,2.4264,8928,33.530
0.5678,2.3805,7876,19.187
1.3201,1.2492,8735,8.447
1.5837,2.3895,6514,10.195
1.7767,1.6038,5259,1.752
0.7092,1.9292,5256,2.635
1.0517,0.7351,4910,-0.127
1.6974,0.7941,8296,3.108
1.8458,1.7403,7517,8.543
1.5440,0.5576,6832,1.323
0.9180,0.6670,7745,1.687
1.1261,0.7860,4986,1.123
0.8593,1.6168,9639,21.557
0.6618,2.0091,6887,8.706
1.4563,0.8549,5680,0.987
1.5683,0.5904,9219,2.119
1.8441,2.0792,5087,3.050
0.6280,0.5817,4513,-0.012
1.4178,1.5985,5107,1.624
1.2945,2.4008,6772,11.267
0.7981,0.5364,9381,2.882
1.1156,1.2784,5934,1.875
1.7140,1.5280,6240,2.858
0.9715,1.5105,6020,2.715
