# Antenna Data
# This dataset contains measurements from various antennas, including their frequency, polarization, direction, impedance, signal-to-noise ratio (SNR), and gain.
# The dataset is used to analyze and predict antenna performance (Gain) based on these features.
#
Frequency,Polarization,Direction,Impedance,SNR,Gain
6.10E+03,Circular,0,48,,
2.97E+03,Circular,0.28,51,17.6222,5.31E+01
6.45E+03,Linear,0.31,44,41.008,2.60E+02
3.68E+04,Linear,0.28,52,17.215,6.37E+01
3.14E+03,Circular,0,58,,
4.76E+03,Circular,0.25,47,7.4286,9.10E+00
1.32E+04,Circular,0.3,54,29.6731,2.17E+02
3.12E+00,Circular,0.35,52,115.6203,4.69E+04
3.84E+02,Circular,0,50,,
1.55E+01,Linear,0.31,47,40.4742,9.29E+02
1.90E+00,Circular,0.35,53,115.6203,2.49E+05
1.69E+01,Circular,0.3,47,35.2144,8.13E+02
5.81E+02,Linear,0,54,,
3.79E+04,Circular,0,52,,
4.96E+05,Linear,0.35,52,122.7749,9.65E+04
2.06E+04,Linear,0.31,47,42.0887,9.74E+01
7.94E+01,Circular,-0.09,54,0.0011,1.04E+01
5.62E+03,Linear,0.3,36,30.4446,4.86E+02
6.63E+03,Circular,0,56,,
2.37E+00,Circular,0.35,51,115.6203,4.97E+04
2.09E+02,Linear,0,53,,
8.62E+05,Circular,0.35,45,117.1173,1.35E+05
6.27E+03,Linear,0.3,44,28.7226,2.89E+02
4.23E+04,Linear,0,49,,
2.10E+05,Linear,0.35,47,131.8078,1.87E+05
5.10E+05,Circular,0.35,49,122.4888,4.85E+05
3.89E+00,Circular,0.35,50,115.6203,2.63E+04
3.21E+00,Linear,0.35,51,115.6203,1.61E+05
1.82E+02,Linear,-1.3,54,0,6.18E-01
1.31E+05,Circular,0.36,49,136.8975,2.09E+05
3.30E+04,Circular,0.29,44,27.6326,4.65E+02
2.40E+02,Circular,0.29,47,22.5779,2.31E+02
1.37E+03,Circular,0,57,,
1.57E+03,Linear,0,51,,
2.87E+00,Linear,0.35,52,115.6203,1.97E+04
1.22E+04,Circular,0.3,49,31.128,2.33E+02
2.35E+05,Linear,0.35,50,130.6243,1.15E+05
4.72E+04,Linear,0.3,53,33.1712,3.56E+03
7.61E+03,Circular,0.29,50,22.408,8.57E+01
3.25E+02,Linear,0,53,,
5.35E+02,Linear,0,48,,
2.48E+01,Circular,0.27,48,14.309,6.23E+01
1.58E+02,Circular,-0.97,43,0,3.76E+00
2.68E+02,Linear,0,52,,
5.86E+01,Circular,0.07,49,0.0771,2.07E+00
3.56E+01,Circular,0.22,50,3.4546,9.38E+00
1.46E+02,Linear,-0.8,50,0,1.60E-01
2.61E+06,Linear,0.35,55,106.2025,2.31E+04
2.47E+06,Circular,0.35,49,106.7356,3.31E+04
5.10E+01,Linear,0.12,53,0.3016,2.54E+00
1.19E+04,Circular,0,49,,
7.01E+03,Circular,0.29,52,22.3162,6.26E+01
1.61E+00,Circular,0.35,50,115.6203,4.98E+04
5.66E+02,Linear,0,42,,
2.45E+03,Linear,0.25,42,7.5088,7.36E+00
2.33E+02,Linear,0,42,,
4.89E+03,Circular,0.29,50,23.1424,3.18E+02
4.96E+01,Linear,0.13,54,0.3831,1.42E+00
2.93E+05,Circular,0.35,50,128.2732,2.01E+04
3.97E+05,Linear,0.35,56,125.0753,9.05E+04
1.45E+03,Circular,0.3,60,32.0078,1.42E+03
5.58E+04,Circular,0.31,49,39.9143,8.16E+02
1.07E+03,Linear,0,55,,
5.24E+05,Circular,0.35,49,122.2031,4.34E+04
8.92E+04,Circular,0.31,61,46.6506,1.59E+03
4.00E+04,Circular,0.31,58,37.856,1.09E+03
2.50E+00,Circular,0.35,52,115.6203,1.54E+05
4.99E+04,Linear,0.26,49,11.3841,9.78E+00
2.64E+00,Circular,0.35,53,115.6203,2.67E+05
4.32E+01,Linear,0.17,59,1.0982,7.69E+00
1.16E+03,Linear,0,53,,
9.90E+05,Linear,0.35,51,115.7238,3.28E+05
5.98E+02,Linear,0,54,,
7.56E+04,Linear,0.3,55,30.6795,2.82E+03
2.10E+01,Circular,0.29,53,22.3325,5.44E+02
9.37E+01,Circular,-0.22,58,0,4.10E-01
1.40E+00,Linear,0.35,51,115.6203,4.65E+04
2.83E+06,Linear,0.35,41,105.4054,1.84E+05
1.80E+00,Circular,0.35,54,115.6203,1.22E+05
9.90E+01,Linear,-0.27,51,0,1.03E-01
4.35E+04,Circular,0.3,55,33.0267,1.19E+03
2.33E+06,Circular,0.35,48,107.27,8.00E+04
7.16E+00,Linear,0.34,47,92.7578,5.65E+04
2.38E+03,Circular,0.28,49,21.2524,1.14E+02
1.95E+00,Linear,0.35,55,115.6203,4.28E+04
1.75E+00,Linear,0.35,59,115.6203,1.14E+04
8.16E+05,Circular,0.35,49,117.6771,1.19E+04
9.50E+03,Circular,0,48,,
1.13E+03,Circular,0,47,,
3.01E+05,Circular,0.35,50,127.9808,1.26E+05
2.25E+03,Linear,0.27,53,16.1157,1.31E+02
1.20E+06,Circular,0.35,44,113.7868,2.15E+04
1.63E+02,Circular,-1.03,39,0,1.81E-01
2.05E+01,Linear,0.29,47,23.8245,5.07E+01
2.79E+04,Circular,0.29,55,26.1236,1.46E+02
2.62E+05,Circular,0.35,51,129.446,9.77E+05
1.28E+05,Linear,0.36,46,137.1999,1.67E+06
3.79E+00,Circular,0.35,53,115.6203,7.63E+04
2.93E+01,Linear,0.25,46,8.1404,3.30E+01
6.72E+05,Circular,0.35,46,119.6467,3.75E+05
1.81E+03,Linear,0,53,,
3.92E+03,Circular,0.28,57,18.4985,2.25E+02
5.03E+03,Circular,0.27,56,15.6426,3.05E+01
4.17E+02,Circular,0,59,,
2.22E+01,Linear,0.28,42,19.4727,2.20E+02
9.05E+02,Circular,0.29,49,23.0856,8.11E+01
9.36E+05,Circular,0.35,50,116.2802,1.58E+05
2.99E+06,Circular,0.35,44,104.8757,9.68E+05
9.18E+00,Linear,0.33,49,75.6074,2.89E+04
1.32E+01,Circular,0.32,44,51.3753,1.73E+03
1.17E+02,Linear,-0.46,45,0,2.77E+00
1.56E+00,Circular,0.35,46,115.6203,1.05E+05
3.56E+05,Linear,0.35,47,126.2335,4.57E+05
2.08E+03,Linear,0,52,,
2.02E+03,Linear,0,59,,
2.91E+02,Linear,0,50,,
3.21E+04,Circular,0.3,58,34.5043,3.23E+02
1.47E+01,Circular,0.31,51,44.0634,2.92E+03
2.81E+03,Linear,0,44,,
1.29E+04,Circular,0.3,50,28.438,4.60E+02
1.76E+03,Linear,0,52,,
6.68E+02,Linear,0,50,,
4.00E+00,Circular,0.35,50,115.6203,5.74E+05
1.83E+01,Linear,0.3,57,30.1541,6.76E+02
2.40E+06,Circular,0.35,51,107.0026,2.88E+04
5.85E+05,Circular,0.35,61,121.0636,1.85E+05
5.89E+04,Linear,0.28,45,20.0275,3.61E+01
1.48E+04,Circular,0.23,50,5.1374,7.99E+00
2.57E+00,Linear,0.35,53,115.6203,2.59E+04
3.23E+03,Circular,0,48,,
6.23E+00,Circular,0.34,43,102.6981,2.82E+05
1.31E+02,Linear,-0.61,42,0,2.43E-01
1.24E+05,Circular,0.36,50,137.5026,1.98E+05
1.60E+01,Linear,0.31,47,38.7024,1.62E+03
1.63E+06,Circular,0.35,49,110.7761,1.27E+04
8.27E+03,Linear,0,48,,
1.11E+01,Circular,0.33,58,62.516,9.13E+03
1.69E+05,Linear,0.35,45,134.1909,8.14E+05
7.67E+02,Circular,0,50,,
5.42E+04,Linear,0.31,51,40.0116,1.76E+03
4.66E+02,Linear,0,47,,
8.22E+00,Linear,0.34,57,83.1515,9.25E+03
5.13E+04,Circular,0.3,57,35.124,8.49E+01
2.18E+00,Circular,0.35,49,115.6203,2.77E+04
2.66E+03,Linear,0,48,,
3.04E+00,Linear,0.35,42,115.6203,3.88E+05
3.76E+05,Circular,0.35,54,125.6537,3.53E+05
1.67E+06,Circular,0.35,45,110.5044,2.33E+05
1.04E+03,Linear,0.29,57,23.1663,3.89E+02
3.46E+05,Linear,0.35,44,126.5238,1.11E+06
1.94E+01,Linear,0.29,46,26.9218,2.43E+03
7.10E+05,Circular,0.35,58,119.0823,2.63E+04
6.41E+00,Linear,0.34,51,100.6808,1.23E+04
4.26E+03,Circular,0,52,,
2.27E+06,Circular,0.35,51,107.5377,3.05E+04
2.18E+04,Circular,0.27,49,12.6556,1.03E+02
1.27E+02,Linear,-0.57,56,0,1.69E+00
3.98E+01,Circular,0.19,48,1.8707,3.44E+00
6.72E+01,Circular,0.01,48,0.0141,1.26E+00
1.90E+04,Circular,0.31,45,36.3942,9.06E+02
1.79E+04,Circular,0.31,49,37.5567,7.22E+02
7.78E+00,Circular,0.34,48,86.9627,1.74E+04
2.03E+06,Circular,0.35,56,108.6118,1.78E+04
2.77E+01,Linear,0.26,60,9.9752,1.22E+01
2.30E+00,Circular,0.35,53,115.6203,6.01E+04
1.32E+00,Circular,0.35,54,115.6203,1.07E+05
1.44E+00,Circular,0.35,63,115.6203,2.07E+05
3.39E+04,Linear,0.31,52,36.4143,9.14E+02
1.15E+04,Linear,0,51,,
7.56E+00,Linear,0.34,61,88.8826,1.24E+04
6.02E+05,Linear,0.35,47,120.7795,3.38E+04
5.54E+05,Linear,0.35,49,121.6327,2.54E+05
1.88E+01,Linear,0.3,47,28.5222,1.27E+02
2.01E+00,Linear,0.35,53,115.6203,8.84E+04
1.67E+02,Linear,-1.09,52,0,5.26E-01
7.35E+04,Linear,0.31,58,38.2323,1.24E+03
1.34E+02,Circular,-0.66,47,0,7.11E+00
4.12E+00,Linear,0.35,55,115.6203,2.16E+04
2.72E+00,Circular,0.35,55,115.6203,9.70E+05
2.24E+04,Circular,0.23,51,5.5673,2.57E+00
8.38E+05,Linear,0.35,47,117.397,6.72E+05
7.30E+05,Circular,0.35,47,118.8006,2.21E+04
1.78E+05,Linear,0.35,45,133.5932,7.25E+04
1.18E+01,Linear,0.32,55,58.7899,4.17E+03
3.71E+03,Linear,0.29,53,22.8304,6.31E+01
1.35E+01,Linear,0.32,52,49.5346,1.48E+03
1.06E+04,Circular,0.29,52,26.5243,2.10E+02
6.96E+04,Circular,0.31,47,40.8915,1.20E+03
2.15E+06,Linear,0.35,62,108.0741,7.02E+04
1.47E+05,Linear,0.36,44,135.6912,1.45E+04
1.23E+06,Circular,0.35,58,113.5115,1.99E+05
1.56E+04,Linear,0.3,55,31.7124,2.68E+02
1.75E+04,Circular,0.3,60,34.822,3.81E+02
3.58E+04,Circular,0.3,50,29.8164,2.00E+02
5.77E+03,Circular,0,56,,
5.21E+02,Circular,0.26,41,10.5916,3.56E+00
1.39E+01,Circular,0.32,51,47.7014,5.28E+03
4.69E+01,Linear,0.15,53,0.5998,7.83E-01
4.20E+05,Circular,0.35,51,124.4982,4.17E+04
1.21E+01,Linear,0.32,49,56.9304,1.27E+04
7.15E+04,Circular,0.31,43,39.9612,3.73E+02
2.21E+06,Circular,0.35,52,107.8057,1.17E+05
1.20E+02,Circular,-0.49,51,0,5.39E-01
2.48E+05,Linear,0.35,51,130.0345,2.25E+05
6.36E+01,Circular,0.04,46,0.0292,1.53E+00
4.11E+04,Linear,0.3,52,33.1739,1.07E+03
8.87E+01,Linear,-0.17,51,0.0001,1.06E+01
3.08E+02,Circular,0,52,,
6.54E+01,Linear,0.02,52,0.0205,1.18E+00
1.11E+06,Linear,0.35,40,114.6149,8.95E+04
3.44E+02,Circular,0,53,,
1.19E+03,Circular,0.28,52,21.2317,2.74E+01
1.05E+02,Linear,-0.33,51,0,4.44E-01
4.20E+01,Circular,0.18,53,1.3215,1.66E+01
9.70E+04,Circular,0,55,,
1.52E+00,Linear,0.35,56,115.6203,1.26E+05
1.72E+02,Linear,-1.16,47,0,1.01E+00
2.83E+02,Linear,0,57,,
2.24E+00,Circular,0.35,50,115.6203,6.99E+04
2.87E+04,Linear,0.31,56,46.317,5.88E+02
1.26E+03,Linear,0,53,,
1.44E+04,Circular,0.3,50,29.4816,8.51E+02
1.83E+05,Linear,0.35,49,133.2948,3.67E+06
1.02E+06,Circular,0.35,42,115.4461,1.12E+05
2.03E+02,Linear,0,54,,
6.86E+02,Linear,0,44,,
2.91E+06,Linear,0.35,53,105.1404,2.12E+04
1.12E+04,Circular,0.3,55,33.2016,6.28E+02
4.23E+00,Circular,0.35,47,115.6203,6.24E+04
3.18E+05,Circular,0.35,47,127.397,3.93E+04
3.63E+02,Circular,0,51,,
5.06E+02,Circular,0,48,,
1.51E+05,Circular,0.36,51,135.3905,2.43E+05
2.22E+05,Linear,0.35,42,131.2154,1.18E+05
7.72E+05,Circular,0.35,58,118.2382,2.89E+04
3.08E+06,Linear,0.35,39,104.6114,9.67E+04
6.77E+04,Circular,0.31,39,37.4835,1.18E+03
3.46E+01,Circular,0.22,51,3.966,5.09E+00
2.19E+03,Linear,0.29,51,27.141,1.35E+03
1.39E+05,Linear,0.36,50,136.2937,2.06E+05
1.14E+02,Circular,-0.42,55,0,7.46E+00
6.23E+04,Linear,0.31,58,36.8586,7.64E+02
5.50E+02,Circular,0,38,,
1.61E+04,Circular,0,52,,
4.69E+05,Linear,0.35,52,123.348,3.13E+05
2.35E+01,Circular,0.28,59,16.7931,7.94E+01
2.05E+05,Circular,0.35,43,132.1045,2.73E+05
9.97E+04,Circular,0.3,62,30.3004,3.06E+02
1.18E+05,Linear,0.36,51,138.1091,7.33E+04
4.53E+02,Linear,0,51,,
3.39E+00,Linear,0.35,44,115.6203,3.71E+04
8.39E+01,Linear,-0.13,61,0.0004,2.60E+00
1.28E+01,Circular,0.32,53,53.2222,4.43E+03
2.95E+00,Linear,0.35,50,115.6203,5.95E+04
6.06E+00,Linear,0.35,55,104.7252,1.17E+05
2.68E+06,Circular,0.35,46,105.9365,1.44E+04
2.95E+04,Circular,0.3,56,35.3338,1.41E+03
7.83E+03,Linear,0,44,,
1.54E+02,Linear,-0.91,59,0,8.85E-01
1.92E+02,Circular,-1.46,47,0,3.19E-01
4.63E+03,Circular,0.31,47,41.6758,1.80E+03
1.03E+04,Linear,0,60,,
1.99E+01,Linear,0.29,52,25.3551,7.48E+01
1.34E+06,Circular,0.35,50,112.6873,8.81E+04
2.89E+03,Circular,0.28,43,18.2295,4.82E+01
4.44E+01,Circular,0.17,53,0.9054,2.33E+00
1.35E+05,Linear,0.36,42,136.5954,5.44E+04
4.38E+03,Linear,0.27,52,13.8573,1.20E+02
7.46E+02,Circular,0.29,49,22.0252,6.51E+01
4.09E+01,Circular,0.19,55,1.5781,5.35E+00
1.14E+06,Linear,0.35,52,114.3386,1.30E+05
7.93E+05,Circular,0.35,48,117.9574,7.35E+05
8.69E+00,Circular,0.33,47,79.3695,2.04E+04
2.37E+04,Linear,0.29,52,27.6607,4.01E+02
1.71E+03,Linear,0,48,,
2.54E+02,Linear,0,51,,
9.70E+00,Linear,0.33,45,71.8583,2.09E+04
9.17E+04,Linear,0,43,,
4.86E+00,Circular,0.35,51,115.6203,1.01E+05
1.43E+05,Linear,0.36,45,135.9923,1.98E+05
8.74E+03,Circular,0,48,,
1.95E+04,Linear,0.3,53,32.0434,3.39E+02
8.45E+00,Circular,0.34,58,81.2575,3.86E+04
1.05E+05,Linear,0.36,53,139.326,1.04E+05
5.31E+03,Circular,0.3,48,33.516,8.61E+01
3.30E+00,Circular,0.35,51,115.6203,2.29E+05
1.64E+05,Circular,0.35,42,134.4903,1.79E+06
8.68E+04,Circular,0.3,38,34.7552,4.82E+02
1.10E+03,Circular,0,50,,
5.14E+00,Circular,0.35,56,115.6035,1.64E+05
3.03E+04,Circular,0.27,53,14.2292,2.27E+01
1.40E+04,Circular,0.3,54,28.649,2.84E+03
9.63E+05,Linear,0.35,46,116.0018,9.79E+04
1.31E+06,Linear,0.35,46,112.9617,7.19E+04
1.41E+03,Linear,0.25,51,9.0322,6.75E+02
1.98E+06,Circular,0.35,48,108.8812,9.91E+03
1.58E+06,Circular,0.35,43,111.0481,1.23E+05
2.42E+01,Linear,0.27,47,15.5258,2.60E+01
4.32E+05,Circular,0.35,46,124.2101,3.27E+05
1.62E+03,Circular,0.29,47,23.8234,2.31E+02
5.00E+00,Linear,0.35,48,115.6203,3.50E+04
5.70E+01,Linear,0.08,53,0.1038,1.26E+00
6.77E+00,Linear,0.34,50,96.6887,4.62E+03
1.00E+04,Linear,0.31,48,36.8628,3.49E+02
7.99E+04,Circular,0.29,61,25.3761,1.21E+03
1.51E+01,Circular,0.31,62,42.2618,4.27E+03
5.54E+01,Circular,0.09,57,0.1379,7.68E+00
2.57E+04,Linear,0.31,62,36.3655,7.24E+03
9.97E+00,Circular,0.33,45,69.9869,1.52E+04
3.87E+01,Linear,0.2,47,2.202,2.27E+00
1.08E+01,Circular,0.33,51,64.3816,1.20E+04
1.05E+06,Linear,0.35,52,115.1687,1.15E+05
1.17E+06,Linear,0.35,56,114.0625,1.48E+04
7.77E+04,Circular,0.31,47,39.0382,3.40E+03
6.36E+05,Linear,0.35,50,120.2125,1.03E+05
4.60E+00,Circular,0.35,48,115.6203,2.15E+04
9.57E+02,Circular,0,53,,
7.51E+01,Linear,-0.06,50,0.0027,5.00E+00
1.66E+03,Circular,0,48,,
2.99E+02,Linear,0,56,,
8.21E+04,Linear,0.3,55,31.8079,2.43E+02
1.08E+02,Circular,-0.36,48,0,1.18E+00
5.17E+03,Circular,0,53,,
3.28E+01,Linear,0.23,59,5.1415,1.47E+01
7.20E+03,Linear,0,50,,
4.08E+05,Circular,0.35,47,124.7865,2.64E+05
5.46E+03,Circular,0.3,54,29.9029,3.67E+02
1.54E+06,Circular,0.35,51,111.3205,2.83E+04
6.54E+05,Linear,0.35,63,119.9294,7.07E+04
1.30E+03,Linear,0.29,55,25.1768,1.65E+02
1.87E+06,Circular,0.35,53,109.4209,4.35E+05
3.10E+01,Linear,0.24,46,6.5303,6.40E+00
2.53E+06,Linear,0.35,54,106.4689,1.39E+04
7.11E+01,Linear,-0.02,56,0.0064,1.12E+00
7.51E+05,Circular,0.35,53,118.5192,2.21E+05
3.16E+06,Circular,0.35,52,104.3473,6.85E+04
2.85E+01,Linear,0.25,49,9.0297,1.77E+01
1.98E+02,Circular,-1.54,44,0,8.59E-01
2.00E+04,Circular,0.3,45,35.5453,1.44E+03
