# =========================================
# Dataset
# Developed by: Shahab Fatemi
# Date: 2024-04-20
# Features: 
#    - R (radial distance) in (m),
#    - Theta (polar angle) in (rad),
#    - Phi (gravitational potential) in (J/kg).
#
# The data is generated for educational purposes only.
#
# MIT License — Shahab Fatemi (2025); 
# For use in the Machine Learning in Physics course, Umeå University, Sweden 
# See the full license text in the parent folder.
# =========================================
R [meter],Theta [radian],Phi [J/kg]
8.479618E+07,0.0000E+00,-6.736510E+07
8.582091E+07,0.0000E+00,-6.629208E+07
8.684564E+07,0.0000E+00,-6.706314E+07
8.787036E+07,0.0000E+00,-6.680876E+07
8.889509E+07,0.0000E+00,-6.274161E+07
8.991982E+07,0.0000E+00,-6.395401E+07
9.094455E+07,0.0000E+00,-6.446669E+07
9.196927E+07,0.0000E+00,-6.289848E+07
9.299400E+07,0.0000E+00,-6.208380E+07
9.401873E+07,0.0000E+00,-6.235686E+07
9.504345E+07,0.0000E+00,-5.937056E+07
9.606818E+07,0.0000E+00,-6.002424E+07
9.709291E+07,0.0000E+00,-5.863865E+07
9.811764E+07,0.0000E+00,-6.003423E+07
9.914236E+07,0.0000E+00,-5.774959E+07
1.001671E+08,0.0000E+00,-5.821252E+07
1.011918E+08,0.0000E+00,-5.555843E+07
1.022165E+08,0.0000E+00,-5.561361E+07
1.032413E+08,0.0000E+00,-5.703391E+07
1.042660E+08,0.0000E+00,-5.654032E+07
1.052907E+08,0.0000E+00,-5.492788E+07
1.063155E+08,0.0000E+00,-5.597197E+07
1.073402E+08,0.0000E+00,-5.452430E+07
1.083649E+08,0.0000E+00,-5.397872E+07
1.093896E+08,0.0000E+00,-5.271578E+07
1.104144E+08,0.0000E+00,-5.261021E+07
1.114391E+08,0.0000E+00,-5.096955E+07
1.124638E+08,0.0000E+00,-5.193209E+07
1.134885E+08,0.0000E+00,-5.124835E+07
1.145133E+08,0.0000E+00,-5.213836E+07
1.155380E+08,0.0000E+00,-5.145129E+07
1.165627E+08,0.0000E+00,-4.762663E+07
1.175875E+08,0.0000E+00,-4.927807E+07
1.186122E+08,0.0000E+00,-4.848467E+07
1.196369E+08,0.0000E+00,-4.905973E+07
1.206616E+08,0.0000E+00,-4.822164E+07
1.216864E+08,0.0000E+00,-4.814120E+07
1.227111E+08,0.0000E+00,-4.729699E+07
1.237358E+08,0.0000E+00,-4.654580E+07
1.247605E+08,0.0000E+00,-4.506503E+07
1.257853E+08,0.0000E+00,-4.669583E+07
1.268100E+08,0.0000E+00,-4.458995E+07
2.536200E+07,3.1733E-02,-2.350863E+08
2.638673E+07,3.1733E-02,-2.234844E+08
2.741145E+07,3.1733E-02,-2.147017E+08
2.843618E+07,3.1733E-02,-2.066678E+08
2.946091E+07,3.1733E-02,-1.985955E+08
3.048564E+07,3.1733E-02,-1.918324E+08
3.151036E+07,3.1733E-02,-1.863771E+08
3.253509E+07,3.1733E-02,-1.793046E+08
3.355982E+07,3.1733E-02,-1.755554E+08
3.458455E+07,3.1733E-02,-1.678098E+08
3.560927E+07,3.1733E-02,-1.625718E+08
3.663400E+07,3.1733E-02,-1.589225E+08
3.765873E+07,3.1733E-02,-1.542458E+08
3.868345E+07,3.1733E-02,-1.508450E+08
3.970818E+07,3.1733E-02,-1.470548E+08
4.073291E+07,3.1733E-02,-1.419694E+08
4.175764E+07,3.1733E-02,-1.395093E+08
4.278236E+07,3.1733E-02,-1.347332E+08
4.380709E+07,3.1733E-02,-1.341672E+08
4.483182E+07,3.1733E-02,-1.294594E+08
4.585655E+07,3.1733E-02,-1.246971E+08
4.688127E+07,3.1733E-02,-1.234325E+08
4.790600E+07,3.1733E-02,-1.204150E+08
4.893073E+07,3.1733E-02,-1.185374E+08
4.995545E+07,3.1733E-02,-1.180435E+08
5.098018E+07,3.1733E-02,-1.142554E+08
5.200491E+07,3.1733E-02,-1.122426E+08
5.302964E+07,3.1733E-02,-1.102172E+08
5.405436E+07,3.1733E-02,-1.064978E+08
5.507909E+07,3.1733E-02,-1.053508E+08
5.610382E+07,3.1733E-02,-1.046304E+08
5.712855E+07,3.1733E-02,-1.022489E+08
5.815327E+07,3.1733E-02,-1.009674E+08
5.917800E+07,3.1733E-02,-9.816124E+07
6.020273E+07,3.1733E-02,-9.584627E+07
6.122745E+07,3.1733E-02,-9.318689E+07
6.225218E+07,3.1733E-02,-9.283255E+07
6.327691E+07,3.1733E-02,-9.259134E+07
6.430164E+07,3.1733E-02,-8.783302E+07
6.532636E+07,3.1733E-02,-8.806044E+07
6.635109E+07,3.1733E-02,-8.635024E+07
6.737582E+07,3.1733E-02,-8.649369E+07
6.840055E+07,3.1733E-02,-8.690175E+07
6.942527E+07,3.1733E-02,-8.271873E+07
7.045000E+07,3.1733E-02,-8.157511E+07
7.147473E+07,3.1733E-02,-8.170682E+07
7.249945E+07,3.1733E-02,-7.982712E+07
7.352418E+07,3.1733E-02,-7.826415E+07
7.454891E+07,3.1733E-02,-7.656571E+07
7.557364E+07,3.1733E-02,-7.650903E+07
7.659836E+07,3.1733E-02,-7.630932E+07
7.762309E+07,3.1733E-02,-7.505587E+07
7.864782E+07,3.1733E-02,-7.071063E+07
7.967255E+07,3.1733E-02,-7.286850E+07
8.069727E+07,3.1733E-02,-7.096246E+07
8.172200E+07,3.1733E-02,-7.065400E+07
8.274673E+07,3.1733E-02,-6.885545E+07
8.377145E+07,3.1733E-02,-7.083106E+07
8.479618E+07,3.1733E-02,-6.843264E+07
8.582091E+07,3.1733E-02,-6.781725E+07
8.684564E+07,3.1733E-02,-6.675107E+07
8.787036E+07,3.1733E-02,-6.686425E+07
8.889509E+07,3.1733E-02,-6.462387E+07
8.991982E+07,3.1733E-02,-6.313763E+07
9.094455E+07,3.1733E-02,-6.365995E+07
9.196927E+07,3.1733E-02,-6.112610E+07
9.299400E+07,3.1733E-02,-6.383117E+07
9.401873E+07,3.1733E-02,-6.090398E+07
9.504345E+07,3.1733E-02,-5.954166E+07
9.606818E+07,3.1733E-02,-6.113014E+07
9.709291E+07,3.1733E-02,-6.013554E+07
9.811764E+07,3.1733E-02,-6.071624E+07
9.914236E+07,3.1733E-02,-5.869844E+07
1.001671E+08,3.1733E-02,-5.736081E+07
1.011918E+08,3.1733E-02,-5.565753E+07
1.022165E+08,3.1733E-02,-5.554526E+07
1.032413E+08,3.1733E-02,-5.561651E+07
1.042660E+08,3.1733E-02,-5.463896E+07
1.052907E+08,3.1733E-02,-5.480658E+07
1.063155E+08,3.1733E-02,-5.362194E+07
1.073402E+08,3.1733E-02,-5.499507E+07
1.083649E+08,3.1733E-02,-5.341447E+07
1.093896E+08,3.1733E-02,-5.323215E+07
1.104144E+08,3.1733E-02,-5.186822E+07
1.114391E+08,3.1733E-02,-5.271208E+07
1.124638E+08,3.1733E-02,-5.136824E+07
1.134885E+08,3.1733E-02,-5.129850E+07
1.145133E+08,3.1733E-02,-5.022997E+07
1.155380E+08,3.1733E-02,-5.030130E+07
1.165627E+08,3.1733E-02,-4.963078E+07
1.175875E+08,3.1733E-02,-4.939964E+07
1.186122E+08,3.1733E-02,-4.861064E+07
1.196369E+08,3.1733E-02,-4.746896E+07
1.206616E+08,3.1733E-02,-4.992088E+07
1.216864E+08,3.1733E-02,-4.730228E+07
1.227111E+08,3.1733E-02,-4.753317E+07
1.237358E+08,3.1733E-02,-4.684074E+07
1.247605E+08,3.1733E-02,-4.755309E+07
1.257853E+08,3.1733E-02,-4.661906E+07
1.268100E+08,3.1733E-02,-4.483241E+07
2.536200E+07,6.3467E-02,-2.327387E+08
2.638673E+07,6.3467E-02,-2.241411E+08
2.741145E+07,6.3467E-02,-2.157671E+08
2.843618E+07,6.3467E-02,-2.070141E+08
2.946091E+07,6.3467E-02,-1.998723E+08
3.048564E+07,6.3467E-02,-1.915035E+08
3.151036E+07,6.3467E-02,-1.853700E+08
3.253509E+07,6.3467E-02,-1.794016E+08
3.355982E+07,6.3467E-02,-1.734395E+08
3.458455E+07,6.3467E-02,-1.679161E+08
3.560927E+07,6.3467E-02,-1.631252E+08
3.663400E+07,6.3467E-02,-1.597231E+08
3.765873E+07,6.3467E-02,-1.548773E+08
3.868345E+07,6.3467E-02,-1.511098E+08
3.970818E+07,6.3467E-02,-1.458958E+08
4.073291E+07,6.3467E-02,-1.440231E+08
4.175764E+07,6.3467E-02,-1.384554E+08
4.278236E+07,6.3467E-02,-1.346377E+08
4.380709E+07,6.3467E-02,-1.317653E+08
4.483182E+07,6.3467E-02,-1.306465E+08
4.585655E+07,6.3467E-02,-1.271140E+08
4.688127E+07,6.3467E-02,-1.231474E+08
4.790600E+07,6.3467E-02,-1.215857E+08
4.893073E+07,6.3467E-02,-1.198345E+08
4.995545E+07,6.3467E-02,-1.161518E+08
5.098018E+07,6.3467E-02,-1.138143E+08
5.200491E+07,6.3467E-02,-1.130599E+08
5.302964E+07,6.3467E-02,-1.075895E+08
5.405436E+07,6.3467E-02,-1.073399E+08
5.507909E+07,6.3467E-02,-1.063647E+08
5.610382E+07,6.3467E-02,-1.039966E+08
5.712855E+07,6.3467E-02,-1.020246E+08
5.815327E+07,6.3467E-02,-1.013727E+08
5.917800E+07,6.3467E-02,-9.895816E+07
6.020273E+07,6.3467E-02,-9.581199E+07
6.122745E+07,6.3467E-02,-9.423047E+07
6.225218E+07,6.3467E-02,-9.316291E+07
6.327691E+07,6.3467E-02,-9.102738E+07
6.430164E+07,6.3467E-02,-9.017410E+07
6.532636E+07,6.3467E-02,-8.816801E+07
6.635109E+07,6.3467E-02,-8.623630E+07
6.737582E+07,6.3467E-02,-8.695770E+07
6.840055E+07,6.3467E-02,-8.432294E+07
6.942527E+07,6.3467E-02,-8.345957E+07
7.045000E+07,6.3467E-02,-8.321029E+07
7.147473E+07,6.3467E-02,-8.249166E+07
7.249945E+07,6.3467E-02,-8.030348E+07
7.352418E+07,6.3467E-02,-7.700806E+07
7.454891E+07,6.3467E-02,-7.738452E+07
7.557364E+07,6.3467E-02,-7.595506E+07
7.659836E+07,6.3467E-02,-7.422672E+07
7.762309E+07,6.3467E-02,-7.409273E+07
7.864782E+07,6.3467E-02,-7.272449E+07
7.967255E+07,6.3467E-02,-7.345203E+07
8.069727E+07,6.3467E-02,-7.274970E+07
8.172200E+07,6.3467E-02,-7.086767E+07
8.274673E+07,6.3467E-02,-7.017975E+07
8.377145E+07,6.3467E-02,-7.040006E+07
8.479618E+07,6.3467E-02,-6.817973E+07
8.582091E+07,6.3467E-02,-6.674968E+07
8.684564E+07,6.3467E-02,-6.807937E+07
8.787036E+07,6.3467E-02,-6.585823E+07
8.889509E+07,6.3467E-02,-6.485547E+07
8.991982E+07,6.3467E-02,-6.436668E+07
9.094455E+07,6.3467E-02,-6.205452E+07
9.196927E+07,6.3467E-02,-6.256837E+07
9.299400E+07,6.3467E-02,-6.239917E+07
9.401873E+07,6.3467E-02,-6.073783E+07
9.504345E+07,6.3467E-02,-6.169264E+07
9.606818E+07,6.3467E-02,-6.067641E+07
9.709291E+07,6.3467E-02,-5.869889E+07
9.811764E+07,6.3467E-02,-6.038272E+07
9.914236E+07,6.3467E-02,-6.014695E+07
1.001671E+08,6.3467E-02,-5.828780E+07
1.011918E+08,6.3467E-02,-5.513181E+07
1.022165E+08,6.3467E-02,-5.622196E+07
1.032413E+08,6.3467E-02,-5.510037E+07
1.042660E+08,6.3467E-02,-5.491896E+07
1.052907E+08,6.3467E-02,-5.397406E+07
1.063155E+08,6.3467E-02,-5.509997E+07
1.073402E+08,6.3467E-02,-5.357933E+07
1.083649E+08,6.3467E-02,-5.362306E+07
1.093896E+08,6.3467E-02,-5.544247E+07
1.104144E+08,6.3467E-02,-5.149431E+07
1.114391E+08,6.3467E-02,-5.110009E+07
1.124638E+08,6.3467E-02,-5.083449E+07
1.134885E+08,6.3467E-02,-5.084926E+07
1.145133E+08,6.3467E-02,-5.056469E+07
1.155380E+08,6.3467E-02,-4.923522E+07
1.165627E+08,6.3467E-02,-4.936819E+07
1.175875E+08,6.3467E-02,-4.823145E+07
1.186122E+08,6.3467E-02,-4.964060E+07
1.196369E+08,6.3467E-02,-4.968363E+07
1.206616E+08,6.3467E-02,-4.886232E+07
1.216864E+08,6.3467E-02,-4.692076E+07
1.227111E+08,6.3467E-02,-4.693701E+07
1.237358E+08,6.3467E-02,-4.434053E+07
1.247605E+08,6.3467E-02,-4.862642E+07
1.257853E+08,6.3467E-02,-4.570111E+07
1.268100E+08,6.3467E-02,-4.538721E+07
2.536200E+07,9.5200E-02,-2.339648E+08
2.638673E+07,9.5200E-02,-2.230892E+08
2.741145E+07,9.5200E-02,-2.164764E+08
2.843618E+07,9.5200E-02,-2.060488E+08
2.946091E+07,9.5200E-02,-1.974296E+08
3.048564E+07,9.5200E-02,-1.930233E+08
3.151036E+07,9.5200E-02,-1.860554E+08
3.253509E+07,9.5200E-02,-1.785466E+08
3.355982E+07,9.5200E-02,-1.732503E+08
3.458455E+07,9.5200E-02,-1.679846E+08
3.560927E+07,9.5200E-02,-1.610383E+08
3.663400E+07,9.5200E-02,-1.596677E+08
3.765873E+07,9.5200E-02,-1.530300E+08
3.868345E+07,9.5200E-02,-1.501697E+08
3.970818E+07,9.5200E-02,-1.465948E+08
4.073291E+07,9.5200E-02,-1.437458E+08
4.175764E+07,9.5200E-02,-1.400051E+08
4.278236E+07,9.5200E-02,-1.364120E+08
4.380709E+07,9.5200E-02,-1.310110E+08
4.483182E+07,9.5200E-02,-1.283595E+08
4.585655E+07,9.5200E-02,-1.263865E+08
4.688127E+07,9.5200E-02,-1.236573E+08
4.790600E+07,9.5200E-02,-1.226164E+08
4.893073E+07,9.5200E-02,-1.190040E+08
4.995545E+07,9.5200E-02,-1.164593E+08
5.098018E+07,9.5200E-02,-1.143587E+08
5.200491E+07,9.5200E-02,-1.120438E+08
5.302964E+07,9.5200E-02,-1.109487E+08
5.405436E+07,9.5200E-02,-1.077700E+08
5.507909E+07,9.5200E-02,-1.049268E+08
5.610382E+07,9.5200E-02,-1.037914E+08
5.712855E+07,9.5200E-02,-9.998364E+07
5.815327E+07,9.5200E-02,-9.955597E+07
5.917800E+07,9.5200E-02,-9.780013E+07
6.020273E+07,9.5200E-02,-9.620437E+07
6.122745E+07,9.5200E-02,-9.419243E+07
6.225218E+07,9.5200E-02,-9.294122E+07
6.327691E+07,9.5200E-02,-9.120656E+07
6.430164E+07,9.5200E-02,-9.107762E+07
6.532636E+07,9.5200E-02,-8.848450E+07
6.635109E+07,9.5200E-02,-8.622378E+07
6.737582E+07,9.5200E-02,-8.678379E+07
6.840055E+07,9.5200E-02,-8.703417E+07
6.942527E+07,9.5200E-02,-8.191482E+07
7.045000E+07,9.5200E-02,-8.449022E+07
7.147473E+07,9.5200E-02,-8.134800E+07
7.249945E+07,9.5200E-02,-8.203193E+07
7.352418E+07,9.5200E-02,-7.754090E+07
7.454891E+07,9.5200E-02,-7.763421E+07
7.557364E+07,9.5200E-02,-7.687930E+07
7.659836E+07,9.5200E-02,-7.492978E+07
7.762309E+07,9.5200E-02,-7.511806E+07
7.864782E+07,9.5200E-02,-7.205997E+07
7.967255E+07,9.5200E-02,-7.244805E+07
8.069727E+07,9.5200E-02,-7.122632E+07
8.172200E+07,9.5200E-02,-7.077928E+07
8.274673E+07,9.5200E-02,-7.079943E+07
8.377145E+07,9.5200E-02,-6.877177E+07
8.479618E+07,9.5200E-02,-6.858518E+07
8.582091E+07,9.5200E-02,-6.690240E+07
8.684564E+07,9.5200E-02,-6.580275E+07
8.787036E+07,9.5200E-02,-6.486034E+07
8.889509E+07,9.5200E-02,-6.726697E+07
8.991982E+07,9.5200E-02,-6.309935E+07
9.094455E+07,9.5200E-02,-6.458257E+07
9.196927E+07,9.5200E-02,-6.327037E+07
9.299400E+07,9.5200E-02,-6.401143E+07
9.401873E+07,9.5200E-02,-6.151793E+07
9.504345E+07,9.5200E-02,-6.182326E+07
9.606818E+07,9.5200E-02,-5.842344E+07
9.709291E+07,9.5200E-02,-5.951885E+07
9.811764E+07,9.5200E-02,-5.749968E+07
9.914236E+07,9.5200E-02,-5.670509E+07
1.001671E+08,9.5200E-02,-5.756813E+07
1.011918E+08,9.5200E-02,-5.829693E+07
1.022165E+08,9.5200E-02,-5.827518E+07
1.032413E+08,9.5200E-02,-5.648880E+07
1.042660E+08,9.5200E-02,-5.612382E+07
1.052907E+08,9.5200E-02,-5.515209E+07
1.063155E+08,9.5200E-02,-5.371358E+07
1.073402E+08,9.5200E-02,-5.330203E+07
1.083649E+08,9.5200E-02,-5.462797E+07
1.093896E+08,9.5200E-02,-5.287095E+07
1.104144E+08,9.5200E-02,-5.280772E+07
1.114391E+08,9.5200E-02,-5.064122E+07
1.124638E+08,9.5200E-02,-5.181203E+07
1.134885E+08,9.5200E-02,-5.147628E+07
1.145133E+08,9.5200E-02,-4.945323E+07
1.155380E+08,9.5200E-02,-5.062109E+07
1.165627E+08,9.5200E-02,-4.926707E+07
1.175875E+08,9.5200E-02,-5.043777E+07
1.186122E+08,9.5200E-02,-4.793815E+07
1.196369E+08,9.5200E-02,-4.764422E+07
1.206616E+08,9.5200E-02,-4.738104E+07
1.216864E+08,9.5200E-02,-4.878225E+07
1.227111E+08,9.5200E-02,-4.686690E+07
1.237358E+08,9.5200E-02,-4.675637E+07
1.247605E+08,9.5200E-02,-4.742505E+07
1.257853E+08,9.5200E-02,-4.562182E+07
1.268100E+08,9.5200E-02,-4.735707E+07
2.536200E+07,1.2693E-01,-2.355818E+08
2.638673E+07,1.2693E-01,-2.235048E+08
2.741145E+07,1.2693E-01,-2.150451E+08
2.843618E+07,1.2693E-01,-2.085630E+08
2.946091E+07,1.2693E-01,-1.984102E+08
3.048564E+07,1.2693E-01,-1.931933E+08
3.151036E+07,1.2693E-01,-1.845040E+08
3.253509E+07,1.2693E-01,-1.787690E+08
3.355982E+07,1.2693E-01,-1.740780E+08
3.458455E+07,1.2693E-01,-1.688907E+08
3.560927E+07,1.2693E-01,-1.634385E+08
3.663400E+07,1.2693E-01,-1.580507E+08
3.765873E+07,1.2693E-01,-1.536906E+08
3.868345E+07,1.2693E-01,-1.504506E+08
3.970818E+07,1.2693E-01,-1.472648E+08
4.073291E+07,1.2693E-01,-1.437753E+08
4.175764E+07,1.2693E-01,-1.408231E+08
4.278236E+07,1.2693E-01,-1.372468E+08
4.380709E+07,1.2693E-01,-1.324148E+08
4.483182E+07,1.2693E-01,-1.288629E+08
4.585655E+07,1.2693E-01,-1.287561E+08
4.688127E+07,1.2693E-01,-1.247560E+08
4.790600E+07,1.2693E-01,-1.229540E+08
4.893073E+07,1.2693E-01,-1.203243E+08
4.995545E+07,1.2693E-01,-1.153465E+08
5.098018E+07,1.2693E-01,-1.141196E+08
5.200491E+07,1.2693E-01,-1.102334E+08
5.302964E+07,1.2693E-01,-1.085088E+08
5.405436E+07,1.2693E-01,-1.061405E+08
5.507909E+07,1.2693E-01,-1.063405E+08
5.610382E+07,1.2693E-01,-1.040249E+08
5.712855E+07,1.2693E-01,-1.029400E+08
5.815327E+07,1.2693E-01,-1.006871E+08
5.917800E+07,1.2693E-01,-9.819489E+07
6.020273E+07,1.2693E-01,-9.898067E+07
6.122745E+07,1.2693E-01,-9.476313E+07
6.225218E+07,1.2693E-01,-9.443305E+07
6.327691E+07,1.2693E-01,-9.135290E+07
6.430164E+07,1.2693E-01,-9.219611E+07
6.532636E+07,1.2693E-01,-8.902915E+07
6.635109E+07,1.2693E-01,-8.736177E+07
6.737582E+07,1.2693E-01,-8.504026E+07
6.840055E+07,1.2693E-01,-8.498419E+07
6.942527E+07,1.2693E-01,-8.379372E+07
7.045000E+07,1.2693E-01,-8.078541E+07
7.147473E+07,1.2693E-01,-8.141613E+07
7.249945E+07,1.2693E-01,-8.140249E+07
7.352418E+07,1.2693E-01,-7.840252E+07
7.454891E+07,1.2693E-01,-7.716368E+07
7.557364E+07,1.2693E-01,-7.703645E+07
7.659836E+07,1.2693E-01,-7.532223E+07
7.762309E+07,1.2693E-01,-7.348602E+07
7.864782E+07,1.2693E-01,-7.462298E+07
7.967255E+07,1.2693E-01,-7.254701E+07
8.069727E+07,1.2693E-01,-7.273061E+07
8.172200E+07,1.2693E-01,-7.011231E+07
8.274673E+07,1.2693E-01,-7.052700E+07
8.377145E+07,1.2693E-01,-6.867605E+07
8.479618E+07,1.2693E-01,-6.780360E+07
8.582091E+07,1.2693E-01,-6.854305E+07
8.684564E+07,1.2693E-01,-6.693470E+07
8.787036E+07,1.2693E-01,-6.677730E+07
8.889509E+07,1.2693E-01,-6.614453E+07
8.991982E+07,1.2693E-01,-6.507621E+07
9.094455E+07,1.2693E-01,-6.402335E+07
9.196927E+07,1.2693E-01,-6.257325E+07
9.299400E+07,1.2693E-01,-6.298355E+07
9.401873E+07,1.2693E-01,-6.243662E+07
9.504345E+07,1.2693E-01,-6.215379E+07
9.606818E+07,1.2693E-01,-6.043246E+07
9.709291E+07,1.2693E-01,-6.052508E+07
9.811764E+07,1.2693E-01,-6.028558E+07
9.914236E+07,1.2693E-01,-5.858975E+07
1.001671E+08,1.2693E-01,-5.795365E+07
1.011918E+08,1.2693E-01,-5.791747E+07
1.022165E+08,1.2693E-01,-5.560046E+07
1.032413E+08,1.2693E-01,-5.558787E+07
1.042660E+08,1.2693E-01,-5.543092E+07
1.052907E+08,1.2693E-01,-5.316930E+07
1.063155E+08,1.2693E-01,-5.585521E+07
1.073402E+08,1.2693E-01,-5.602871E+07
1.083649E+08,1.2693E-01,-5.066446E+07
1.093896E+08,1.2693E-01,-5.280305E+07
1.104144E+08,1.2693E-01,-5.205942E+07
1.114391E+08,1.2693E-01,-5.264662E+07
1.124638E+08,1.2693E-01,-5.046308E+07
1.134885E+08,1.2693E-01,-5.041548E+07
1.145133E+08,1.2693E-01,-5.180968E+07
1.155380E+08,1.2693E-01,-4.980376E+07
1.165627E+08,1.2693E-01,-4.934582E+07
1.175875E+08,1.2693E-01,-4.922883E+07
1.186122E+08,1.2693E-01,-4.967875E+07
1.196369E+08,1.2693E-01,-4.991052E+07
1.206616E+08,1.2693E-01,-4.866594E+07
1.216864E+08,1.2693E-01,-4.783409E+07
1.227111E+08,1.2693E-01,-4.746250E+07
1.237358E+08,1.2693E-01,-4.807595E+07
1.247605E+08,1.2693E-01,-4.729740E+07
1.257853E+08,1.2693E-01,-4.687565E+07
1.268100E+08,1.2693E-01,-4.686473E+07
2.536200E+07,1.5867E-01,-2.327203E+08
2.638673E+07,1.5867E-01,-2.224943E+08
2.741145E+07,1.5867E-01,-2.142500E+08
2.843618E+07,1.5867E-01,-2.056050E+08
2.946091E+07,1.5867E-01,-1.995984E+08
3.048564E+07,1.5867E-01,-1.931464E+08
3.151036E+07,1.5867E-01,-1.856928E+08
3.253509E+07,1.5867E-01,-1.792936E+08
3.355982E+07,1.5867E-01,-1.737074E+08
3.458455E+07,1.5867E-01,-1.689534E+08
3.560927E+07,1.5867E-01,-1.642515E+08
3.663400E+07,1.5867E-01,-1.594319E+08
3.765873E+07,1.5867E-01,-1.530189E+08
3.868345E+07,1.5867E-01,-1.510408E+08
3.970818E+07,1.5867E-01,-1.459007E+08
4.073291E+07,1.5867E-01,-1.409726E+08
4.175764E+07,1.5867E-01,-1.380847E+08
4.278236E+07,1.5867E-01,-1.352408E+08
4.380709E+07,1.5867E-01,-1.328749E+08
4.483182E+07,1.5867E-01,-1.292873E+08
4.585655E+07,1.5867E-01,-1.279474E+08
4.688127E+07,1.5867E-01,-1.233493E+08
4.790600E+07,1.5867E-01,-1.211815E+08
4.893073E+07,1.5867E-01,-1.185851E+08
4.995545E+07,1.5867E-01,-1.174655E+08
5.098018E+07,1.5867E-01,-1.136218E+08
5.200491E+07,1.5867E-01,-1.119784E+08
5.302964E+07,1.5867E-01,-1.093380E+08
5.405436E+07,1.5867E-01,-1.058655E+08
5.507909E+07,1.5867E-01,-1.034795E+08
5.610382E+07,1.5867E-01,-1.024438E+08
5.712855E+07,1.5867E-01,-1.019919E+08
5.815327E+07,1.5867E-01,-1.007312E+08
5.917800E+07,1.5867E-01,-9.841440E+07
6.020273E+07,1.5867E-01,-9.897499E+07
6.122745E+07,1.5867E-01,-9.605350E+07
6.225218E+07,1.5867E-01,-9.376823E+07
6.327691E+07,1.5867E-01,-9.037360E+07
6.430164E+07,1.5867E-01,-8.989185E+07
6.532636E+07,1.5867E-01,-9.067341E+07
6.635109E+07,1.5867E-01,-8.659024E+07
6.737582E+07,1.5867E-01,-8.674562E+07
6.840055E+07,1.5867E-01,-8.545445E+07
