x,y_noisy
-3.5251,-0.0904
-2.5631,0.0136
0.8838,3.6289
2.4870,2.8358
-3.6693,-0.0269
-1.0721,0.5227
-2.3547,0.4804
-2.3868,-0.0178
-1.8096,-0.0389
-1.3447,0.2638
-3.8136,-0.8769
2.6633,3.3562
0.7395,3.2969
-0.9920,0.1891
-3.0922,0.5271
-0.0301,1.4094
-0.2064,1.5300
-0.9118,0.5398
0.6754,2.9685
1.3968,5.4424
-1.3928,0.9693
0.6593,2.8656
-1.2485,1.4421
1.1242,3.5318
-0.6072,0.5265
-4.4228,0.2221
-1.8577,0.0538
-2.7715,-0.2326
0.8357,3.7451
-1.0882,0.1693
2.0381,3.8552
-0.4148,1.0107
-4.0541,0.5472
-3.2204,0.2041
-3.5731,0.3923
1.9900,4.6834
-4.9038,0.7507
0.7715,3.4743
0.5471,2.0413
0.4188,2.4705
-2.4669,-0.1778
-2.5952,0.3816
-2.1623,0.9283
1.3006,5.5414
-2.0501,0.2782
2.1984,2.9371
-4.8397,-0.0640
1.0922,3.9511
-3.3487,-0.1169
-3.7014,0.3211
-4.3908,-0.3912
0.0341,2.1100
-2.3226,1.0790
2.5190,2.2225
-0.2545,1.5858
2.5992,2.9222
-1.8257,0.4379
-0.2385,1.3660
1.6693,5.4811
-2.6593,-0.2216
1.2846,4.2501
-2.6433,-0.2530
2.1663,3.0867
-0.3988,1.3210
-3.0281,-0.3282
0.8998,3.7149
-3.4609,0.3137
-2.7074,0.3412
-1.1683,0.9567
2.0862,2.8944
-3.4449,0.3009
1.5251,4.9399
-3.0441,0.7921
-2.0661,0.5575
-1.7615,0.8629
-1.0561,0.4737
-0.1102,1.4386
-0.2224,1.5856
0.6273,3.4283
1.1884,4.6941
1.3327,4.6761
-0.4469,1.8970
-2.9960,1.1119
-0.1583,1.6322
-1.4248,-0.1218
1.7014,5.2768
-1.4890,0.5361
-2.9319,0.0408
1.7335,5.5659
-0.3667,0.8658
2.1182,3.0956
1.0281,4.4381
-0.3347,0.9480
0.6914,2.6222
-0.2866,1.3356
1.3487,4.2028
0.4509,2.0514
-3.2044,0.2402
-2.1303,1.4407
-0.0782,1.1958
1.9259,4.1247
2.8076,1.4125
2.7114,1.6441
1.7655,4.5711
-1.2645,0.3179
-0.0140,1.9582
-2.3707,0.6982
-2.8196,-0.0590
-1.8417,0.4724
-0.8637,0.9366
-1.2806,0.5909
-3.1563,0.3411
-3.0762,0.5443
0.5952,2.6639
-1.4088,0.3397
1.4449,4.9870
1.3647,5.4517
-2.9639,0.0124
-0.4309,0.2766
1.5892,4.5107
-3.2846,0.2791
0.9319,3.7897
0.2104,1.3919
-2.8677,0.4385
2.2465,2.8165
-4.2946,-0.4468
2.3747,3.6185
-3.9579,0.7049
-0.4629,0.5351
-3.6373,-0.0182
-1.1202,0.8377
-2.0180,0.5631
1.1403,4.2168
-2.4509,0.5637
-4.8076,0.2194
-4.4389,-0.3505
-4.5511,-0.1073
-2.2745,-0.0279
-2.7234,-0.3776
1.3808,4.8841
0.4830,2.5558
-1.4569,-0.2337
-3.4770,-0.3914
-4.1824,-0.0038
-1.1523,0.3053
2.7595,1.6307
1.0601,5.0653
-2.1463,0.2439
-4.3427,0.2108
2.9840,1.2112
1.7495,5.4091
-1.6974,0.6515
-0.4790,1.6514
-0.9279,0.1175
1.6052,4.3316
-4.9359,0.0242
-0.8958,1.2486
2.1824,3.2060
-3.3968,-0.3660
-1.3768,0.5648
1.8778,3.6721
-1.5852,0.7359
-2.2585,0.0042
-3.4289,0.1997
-0.3186,0.9250
-1.5531,0.7880
-4.0220,0.0845
-4.2465,0.5698
-4.4870,0.1303
-0.7194,0.2717
0.2425,2.2536
-1.7936,0.5651
2.1503,3.6606
-4.5671,0.2825
1.7976,4.8514
-1.3126,0.2690
-0.8317,0.4060
-0.3828,1.2126
-2.4028,0.7715
1.8136,5.0997
-2.7876,0.5834
-4.0060,-0.2829
-2.8357,0.8725
-2.9479,0.2804
2.6313,2.4238
-4.8717,-0.0676
0.2265,2.3702
2.4228,2.7859
-3.9739,0.4865
-0.1904,0.9646
-4.7756,-0.5662
-2.4990,1.0406
-4.3587,0.4369
1.0762,3.9152
2.5030,2.2803
1.4609,5.0112
-1.5371,0.1799
-0.5271,0.8245
1.9579,4.7342
1.8938,3.8554
0.4028,2.1402
-1.2164,-0.2133
-1.6814,0.6551
-1.6012,0.8525
-0.2705,0.9321
2.3267,2.5562
-0.9760,1.0684
2.8236,2.4917
2.7916,1.6153
-0.1423,1.5966
0.6112,2.9178
-0.6874,0.9167
-1.7776,0.6501
-2.4188,0.6205
-4.3106,0.0234
-1.5210,0.3990
1.4289,4.7351
-1.9539,0.2081
-0.0461,1.3939
-0.8477,1.0777
-3.3166,0.3682
-4.1503,0.3965
1.2365,4.4446
-4.9840,0.0609
2.0701,3.7603
2.7275,1.3521
-4.2144,-0.5566
1.7174,4.8013
-3.7174,0.0893
-1.7134,0.0663
-4.4549,0.4662
-0.7836,0.3948
1.8457,4.7407
0.8677,3.6617
-3.5411,0.5768
0.4349,2.1170
2.5832,2.8475
-4.1663,-0.1197
0.5311,2.6717
-0.7675,0.7131
-1.1363,0.5830
-4.7916,-0.6421
0.0501,1.6202
-3.5892,-0.0260
1.2044,5.3487
-0.6232,0.9118
-2.3387,0.6466
0.2585,2.2172
2.8878,1.7398
-2.8517,-0.1170
-0.0942,1.9229
2.6954,2.0073
0.1142,1.6601
-1.1042,0.9888
-4.1343,0.5651
0.8196,3.5786
-4.1984,0.2790
2.3106,2.9745
-2.2104,0.4493
2.1343,3.8334
-1.9699,-0.2225
2.9519,1.1938
-2.0020,0.3478
-2.2906,0.0238
-4.0701,0.2886
-4.2305,0.2852
0.5150,2.3494
-1.2325,0.8441
-0.9599,1.5580
-4.6633,0.0379
0.0180,1.8898
2.3587,2.3987
-2.4349,-0.0865
-0.5752,1.0219
2.1022,3.6337
-1.9379,0.7326
1.1723,4.5754
-0.3026,1.5165
1.6212,5.4386
0.4990,2.2947
-0.8798,0.4673
-0.0621,1.6722
-2.6112,0.3981
-2.9158,-0.3764
-2.5792,0.4220
0.7555,2.8861
-3.4128,0.1051
0.9639,4.4643
-3.6052,0.3163
2.3427,2.7023
0.2906,2.0254
-1.5691,0.3538
2.4709,2.8194
-3.0601,-0.1343
3.0000,0.9853
-4.6794,0.7139
-1.9860,0.0415
-3.8617,0.7833
-3.3006,0.9624
-0.6713,1.4514
0.5792,2.4183
1.9739,4.1125
-3.3647,0.0656
