# =========================================
# Dataset for classification, suitable for Gaussian Naive Bayes
# Developed by: Shahab Fatemi
# Date: 2025-07-10
# Features: x1, x2, x3
# Labels: y (low, medium, high)
# =========================================    
x1,x2,x3,y
16.5,6.3,223.2,low
47.5,3.7,152.1,medium
9.4,1.6,225.4,high
87.1,0.9,155.6,high
72.6,3.6,97.1,high
11.2,5.9,247.3,low
82.5,2.5,143.0,high
24.2,1.4,167.1,high
27.1,5.5,243.8,low
62.0,3.9,202.1,high
15.6,4.6,270.3,low
82.1,3.5,129.5,medium
19.7,4.7,242.3,low
25.6,1.9,130.1,high
74.8,2.9,336.7,medium
156.3,1.7,108.1,high
11.2,3.2,239.6,high
64.4,1.7,289.3,medium
-1.0,4.5,248.4,low
86.5,3.8,226.0,medium
43.0,5.0,172.4,medium
54.8,3.0,190.4,high
11.1,5.3,162.8,low
26.9,4.7,311.1,low
53.7,4.5,121.6,high
35.4,5.4,215.1,low
-8.1,4.1,238.0,low
50.4,4.5,208.0,high
96.0,3.6,227.1,medium
34.0,3.7,233.5,low
-2.1,4.9,240.4,medium
71.6,-0.2,237.1,high
40.7,3.6,163.8,high
47.0,4.4,256.8,medium
-7.1,7.0,315.9,low
58.5,5.8,78.2,high
-17.6,4.6,212.2,medium
26.8,4.0,194.7,low
72.8,1.6,128.0,high
83.9,2.5,220.5,high
23.7,4.0,186.5,low
40.2,4.0,148.6,high
47.7,2.2,175.3,high
71.1,3.4,124.5,high
5.7,2.1,202.6,medium
-12.8,6.1,369.8,low
40.1,3.1,247.3,low
12.5,5.9,279.1,low
34.4,2.4,237.2,high
33.1,2.9,125.9,high
60.3,2.5,115.9,high
74.0,5.5,126.2,high
63.6,3.8,207.5,medium
14.3,4.1,176.3,low
54.1,1.5,193.7,high
63.5,4.6,162.5,medium
26.6,3.7,223.8,medium
117.9,0.5,126.2,high
82.9,2.6,124.3,high
48.9,5.3,316.4,low
52.1,4.5,233.1,medium
31.6,4.5,195.8,low
54.2,4.6,110.8,medium
17.4,4.0,204.8,low
42.1,1.3,149.1,medium
15.9,3.8,126.4,medium
-13.5,4.4,284.1,low
15.8,3.7,285.4,low
36.6,2.2,136.2,high
35.6,5.7,200.4,low
38.4,5.2,306.8,low
7.1,5.6,236.8,low
57.1,1.3,183.4,high
-16.4,5.5,194.9,low
9.9,5.7,284.8,low
64.7,4.5,199.1,medium
68.9,4.3,217.3,high
12.4,5.6,255.5,medium
74.7,1.7,133.8,high
81.6,4.9,169.4,high
39.6,4.6,376.1,low
26.2,5.0,340.6,low
48.3,5.7,234.0,medium
-5.4,4.8,113.0,medium
80.3,2.2,208.9,high
37.8,2.5,225.3,medium
17.4,3.1,297.1,medium
26.3,5.0,259.7,low
26.5,3.9,238.7,low
75.8,2.9,162.2,high
113.1,4.5,120.4,high
15.7,5.3,273.1,low
10.8,6.1,170.5,medium
65.0,3.2,126.2,high
65.7,5.5,212.0,medium
42.3,2.2,173.6,high
48.9,2.5,126.4,medium
-6.5,2.3,211.4,medium
50.4,4.9,129.4,medium
15.5,6.0,240.9,low
26.2,6.7,231.6,low
52.1,2.0,200.5,high
12.7,5.9,110.4,medium
75.7,3.4,111.8,high
47.8,4.8,211.3,low
14.6,5.8,197.3,medium
49.2,5.2,148.4,low
96.6,2.5,133.1,medium
96.0,2.9,142.5,high
29.7,3.8,163.7,medium
