# =========================================
# Dataset for regression
# Developed by: Shahab Fatemi
# Date: 2024-10-17
# Features: mass (m), acceleration (a), friction coefficient (mu)
# Target: Applied Force (F)
#
#     Mass is given in kilograms (kg),
#     Acceleration is in meters per second squared (m/s2),
#     Friction coefficient (mu) is unitless,
#     Force is calculated in Newtons (N)
#
# The data is generated for educational purposes only.
#
# MIT License — Shahab Fatemi (2025); 
# For use in the Machine Learning in Physics course, Umeå University, Sweden 
# See the full license text in the parent folder.
# =========================================
mass,acceleration,mu,F
2.500,4.456,0.070,11.778
0.500,1.189,0.048,0.796
1.167,2.822,0.135,3.814
1.833,3.367,0.135,7.298
2.278,3.367,0.027,7.825
1.167,2.278,0.005,2.578
1.389,1.733,0.027,2.567
1.611,2.822,0.027,4.871
2.278,1.733,0.070,4.417
0.944,0.100,0.070,0.373
1.833,1.733,0.005,3.321
0.500,5.000,0.070,2.673
1.611,2.822,0.178,5.577
0.500,3.367,0.178,2.074
1.833,1.189,0.048,2.543
0.944,4.456,0.092,4.683
2.278,2.278,0.092,6.032
1.389,1.733,0.092,2.746
0.722,2.822,0.070,2.244
0.500,3.911,0.113,2.153
2.056,1.733,0.005,3.455
1.389,2.278,0.135,3.797
0.722,4.456,0.178,3.618
0.944,3.911,0.027,3.781
0.944,1.733,0.135,2.097
1.389,4.456,0.157,7.200
0.722,0.644,0.157,0.835
2.500,2.278,0.070,6.118
1.611,0.644,0.048,1.356
2.278,1.189,0.113,3.901
1.611,5.000,0.027,8.336
0.722,1.189,0.135,1.212
0.722,0.644,0.135,0.807
1.389,3.911,0.070,5.760
1.833,5.000,0.070,9.489
0.500,2.822,0.157,1.716
2.278,3.367,0.070,8.025
2.500,0.644,0.048,2.127
1.167,3.367,0.200,4.531
0.944,3.367,0.178,3.700
0.500,2.278,0.135,1.375
1.167,2.278,0.200,3.376
0.722,5.000,0.113,3.943
2.500,5.000,0.200,14.406
2.278,1.733,0.092,4.627
2.056,1.733,0.135,4.559
0.944,3.367,0.070,3.401
1.389,2.278,0.070,3.405
1.833,3.911,0.113,8.024
1.167,0.100,0.092,0.393
1.167,2.278,0.027,2.643
2.500,3.367,0.135,9.630
0.722,2.278,0.200,2.010
0.722,1.189,0.092,1.050
2.056,4.456,0.135,10.094
0.500,2.822,0.005,1.499
1.167,2.822,0.070,3.670
2.500,1.189,0.157,4.358
0.722,2.278,0.048,1.686
1.389,3.911,0.005,5.447
1.167,5.000,0.200,6.695
1.833,1.189,0.113,2.864
1.167,1.189,0.005,1.378
0.500,0.644,0.200,0.725
2.278,0.100,0.200,1.880
2.056,5.000,0.005,10.179
2.278,0.100,0.178,1.706
1.389,0.100,0.157,0.868
1.611,1.733,0.157,3.822
1.833,1.189,0.005,2.162
0.500,1.733,0.178,1.208
0.722,3.911,0.113,3.121
0.944,2.278,0.113,2.555
2.278,1.189,0.178,4.317
1.833,3.367,0.157,7.154
2.056,2.822,0.092,6.453
2.278,2.822,0.178,8.017
0.722,2.822,0.092,2.427
0.944,4.456,0.157,4.712
1.833,0.100,0.048,0.419
1.611,3.367,0.200,6.628
2.056,2.278,0.070,5.150
0.500,0.644,0.157,0.717
0.722,1.189,0.157,1.193
1.167,1.189,0.048,1.720
0.944,2.822,0.113,2.947
1.833,2.822,0.157,6.168
2.500,3.367,0.092,9.276
0.722,5.000,0.005,3.508
0.722,0.644,0.113,0.954
1.833,0.644,0.135,2.074
1.833,0.100,0.135,1.129
0.722,4.456,0.005,3.149
1.167,0.100,0.027,0.211
2.056,2.822,0.200,7.334
2.056,0.644,0.048,1.837
2.056,1.189,0.070,3.014
1.833,4.456,0.113,9.011
2.500,3.911,0.200,11.663
1.611,0.644,0.157,2.165
2.500,4.456,0.092,12.028
0.500,2.278,0.113,1.257
2.500,0.100,0.200,2.283
0.722,2.822,0.157,2.522
2.278,2.822,0.027,6.753
0.722,3.911,0.027,2.899
0.500,0.644,0.135,0.534
1.611,0.644,0.027,1.172
0.500,2.278,0.178,1.405
2.500,3.911,0.027,10.047
2.500,2.278,0.005,5.847
1.611,0.644,0.113,1.764
2.500,2.822,0.048,7.527
1.389,4.456,0.005,6.250
0.944,4.456,0.070,4.525
2.056,0.644,0.178,2.782
2.278,3.911,0.157,10.150
0.944,1.189,0.113,1.537
0.500,1.189,0.135,0.802
2.500,2.822,0.092,8.119
1.389,1.733,0.157,3.273
2.500,2.822,0.027,7.457
1.167,3.367,0.092,4.305
0.944,1.189,0.200,1.783
0.500,1.733,0.157,1.255
2.500,3.367,0.113,9.405
1.167,3.911,0.092,5.035
1.389,3.367,0.200,5.692
2.500,3.367,0.157,10.022
2.278,2.822,0.005,6.424
2.056,0.100,0.092,1.091
2.278,2.278,0.027,5.361
0.722,5.000,0.092,3.883
2.278,2.822,0.092,7.232
2.278,3.367,0.092,8.636
1.611,0.100,0.070,0.456
2.500,3.367,0.200,10.328
2.278,1.733,0.005,3.967
1.611,3.911,0.200,7.548
2.500,3.367,0.178,10.017
0.722,3.367,0.048,2.599
2.500,0.100,0.178,1.929
0.722,2.822,0.048,1.997
2.278,0.100,0.027,0.460
2.500,5.000,0.070,13.185
2.056,2.822,0.113,6.608
0.722,0.644,0.027,0.634
0.944,1.189,0.135,1.527
1.833,4.456,0.178,9.697
0.722,0.100,0.070,0.056
1.389,1.189,0.027,1.600
1.389,0.644,0.200,1.863
2.056,2.822,0.005,5.703
1.611,4.456,0.135,7.887
2.056,4.456,0.005,9.171
1.833,3.911,0.048,7.533
0.722,0.644,0.200,0.982
0.500,2.822,0.070,1.566
0.722,2.822,0.027,2.046
1.389,0.100,0.070,0.512
2.500,2.278,0.113,6.928
0.944,0.100,0.157,0.622
1.833,2.822,0.178,6.503
2.278,2.278,0.070,5.907
2.056,3.367,0.048,7.332
0.500,0.100,0.178,0.407
2.278,0.100,0.157,1.609
0.500,1.733,0.135,1.006
1.389,2.822,0.048,4.208
1.833,2.822,0.027,5.319
0.944,2.822,0.070,2.761
1.167,0.100,0.070,0.323
2.056,2.278,0.135,5.983
1.611,3.911,0.027,6.482
1.833,1.189,0.070,2.620
2.056,1.733,0.048,3.830
2.278,5.000,0.027,11.609
0.944,3.367,0.048,3.287
1.833,0.644,0.005,1.299
0.944,5.000,0.157,5.332
1.389,0.644,0.092,1.280
0.722,2.822,0.005,1.969
2.056,4.456,0.178,10.485
1.833,2.278,0.005,4.097
2.278,4.456,0.200,11.787
1.611,2.822,0.005,4.827
2.278,4.456,0.135,11.270
1.389,4.456,0.178,7.190
0.722,2.278,0.157,2.058
0.722,2.278,0.135,2.071
2.056,1.189,0.005,2.484
2.500,1.733,0.027,4.520
2.056,1.733,0.200,5.166
1.833,2.822,0.200,6.398
1.167,2.278,0.178,3.469
1.389,3.367,0.070,5.034
1.167,1.189,0.113,1.940
0.722,4.456,0.135,3.552
0.722,1.189,0.070,1.095
2.278,2.822,0.070,6.916
1.833,0.100,0.178,1.701
0.722,2.278,0.070,1.595
2.500,2.822,0.178,8.628
0.722,5.000,0.157,4.285
1.833,0.100,0.200,1.440
0.944,3.911,0.200,4.256
0.944,5.000,0.070,5.061
1.389,0.100,0.005,0.241
0.722,1.189,0.048,0.964
0.722,4.456,0.070,3.504
0.944,0.100,0.048,0.371
1.389,1.733,0.178,3.438
0.944,2.278,0.135,2.599
1.389,0.644,0.113,1.685
2.500,1.733,0.048,4.761
2.056,3.367,0.113,7.856
2.500,0.100,0.135,1.553
2.278,1.733,0.113,5.027
2.278,4.456,0.157,11.538
0.722,1.189,0.200,1.424
1.833,1.733,0.157,4.207
1.389,0.100,0.048,0.462
2.056,4.456,0.092,9.856
2.056,3.911,0.005,8.092
2.056,1.733,0.113,4.541
2.500,0.644,0.070,2.441
0.944,0.644,0.200,1.329
1.833,2.278,0.027,4.329
2.500,0.644,0.113,2.650
2.056,2.822,0.048,6.189
2.278,0.100,0.135,1.457
2.500,0.644,0.200,3.589
1.833,1.189,0.092,2.800
2.278,3.911,0.092,9.574
2.056,3.367,0.005,6.970
1.167,4.456,0.135,5.734
2.500,3.911,0.048,10.120
1.611,0.100,0.200,1.340
0.944,3.367,0.157,3.656
2.278,0.644,0.200,3.093
1.389,2.278,0.027,3.316
1.389,5.000,0.135,7.669
0.722,0.644,0.048,0.529
1.833,5.000,0.027,9.441
0.944,1.733,0.048,1.762
2.278,3.367,0.200,9.506
1.833,0.100,0.157,1.177
1.833,3.911,0.027,7.284
1.167,3.911,0.070,4.886
2.500,4.456,0.027,11.418
2.278,2.278,0.048,5.522
0.944,1.733,0.070,1.942
2.056,4.456,0.113,9.870
1.833,3.911,0.135,8.071
1.167,0.644,0.157,1.588
1.833,2.278,0.178,5.469
1.389,0.644,0.005,0.857
2.278,5.000,0.178,12.782
2.056,0.100,0.200,1.615
1.167,2.822,0.178,4.039
0.944,2.822,0.178,3.242
2.056,2.278,0.092,5.167
1.833,1.189,0.157,3.083
1.833,1.733,0.048,3.382
0.944,4.456,0.048,4.344
1.167,3.911,0.135,5.111
1.167,4.456,0.092,5.570
0.944,1.189,0.092,1.406
2.500,2.822,0.070,7.741
2.278,0.644,0.092,2.116
1.389,3.911,0.048,5.703
1.167,2.278,0.157,3.455
1.611,0.100,0.113,0.824
1.833,1.733,0.200,4.478
2.500,4.456,0.157,12.561
2.500,1.189,0.178,4.536
2.500,0.100,0.113,1.117
1.833,0.644,0.200,2.536
2.278,2.822,0.113,7.356
2.278,0.100,0.070,0.991
1.833,2.278,0.113,4.940
2.278,2.278,0.135,6.265
1.611,2.822,0.135,5.601
2.500,2.822,0.157,8.472
1.611,3.911,0.157,7.212
2.056,5.000,0.113,11.140
0.500,4.456,0.113,2.408
0.944,2.278,0.048,2.181
1.833,5.000,0.178,10.440
0.722,2.822,0.200,2.712
1.611,1.189,0.092,2.402
0.500,1.733,0.113,1.037
1.611,2.278,0.005,3.716
0.722,3.911,0.005,2.845
1.833,2.822,0.092,5.815
2.278,5.000,0.005,11.477
2.278,2.822,0.157,7.785
2.278,2.278,0.157,6.669
2.500,2.278,0.092,6.592
2.056,1.733,0.070,4.098
0.500,5.000,0.113,2.736
1.611,3.367,0.070,5.867
0.944,2.278,0.005,2.168
2.056,2.278,0.048,5.003
1.611,3.911,0.092,6.922
1.833,5.000,0.005,9.056
1.389,3.367,0.005,4.639
1.611,2.822,0.070,4.842
2.278,4.456,0.178,11.926
0.944,0.100,0.135,0.682
1.167,5.000,0.048,6.163
2.056,5.000,0.092,11.073
1.167,5.000,0.157,6.460
2.056,3.367,0.135,8.003
2.278,2.278,0.178,6.814
0.944,0.644,0.157,1.125
0.500,0.100,0.092,0.219
2.056,3.367,0.178,8.401
1.833,2.278,0.048,4.466
2.500,1.189,0.200,4.857
1.833,0.644,0.048,1.745
2.056,1.733,0.178,4.951
1.611,2.278,0.135,4.604
2.056,1.189,0.113,3.445
